word_id	en_hw	page	seq_on_page	enwk_part_of_speech	tt_param1	seq_in_param1	keep
DIB1723883	greasy	greasy	2	Adjective	Containing a lot of [[grease]] or fat	1	y
DIB1724065	cool	cool	1	Adjective	having a slightly low temperature	1	y
DIB1726447	unfit	unfit	1	Adjective	not fit; not having the correct requirements	1	y
DIB1727187	near	near	1	Adjective	physically close	1	y
DIB1727187	near	near	12	Preposition	in close proximity to	1	y
DIB1728817	intelligence	intelligence	1	Noun	capacity of mind	1	y
DIB1732960	bell pepper	bell pepper	1	Noun	spicy-sweet fruit	1	y
DIB1733789	write	write	1	Verb	to form letters, etc.	1	y
DIB1739266	cold cuts	cold cuts	1	Noun	meat	1	y
DIB1746065	sour	sour	1	Adjective	having an acidic, sharp or tangy taste	1	y
DIB1749209	find	find	1	Verb	encounter, locate, discover	1	yp
DIB1750383	nothing	nothing	1	Pronoun	not any thing	1	y
DIB1751877	trust	trust	9	Verb	to give credence to	1	y
DIB1771092	become	become	1	Verb	to begin to be	1	y
DIB1772189	cost	cost	1	Verb	to incur a charge, a price	1	y
DIB1782622	lie	lie	6	Verb	tell an intentional untruth	1	y
DIB1785693	countryside	countryside	1	Noun	area outside of towns and cities, or such part of a larger area	1	y
DIB1786833	itself	itself	1	Pronoun	(reflexive) it	1	yp
DIB1795689	godfather	godfather	1	Noun	man present at the christening of a baby who promises to help raise the child in a Christian manner	1	y
DIB1796703	strange	strange	2	Adjective	not yet part of one’s experience	1	y
DIB1803916	take one's leave	take one's leave	1	Verb	say goodbye	1	y
DIB1805804	neither … nor	neither … nor	1	Conjunction	used for showing that something is not true of two or more people, things, actions, qualities, or ideas	1	y
DIB1821330	swimsuit	swimsuit	1	Noun	garment worn for swimming	1	y
DIB1821946	philosophy	philosophy	1	Noun	academic discipline	1	y
DIB1831167	somewhere	somewhere	1	Adverb	in some place	1	y
DIB1833851	separation	separation	1	Noun	act of disuniting two or more things	1	y
DIB1838821	baked good	baked good	1	Noun	baked item with flour as main ingredient	1	plural
DIB1841909	course	course	5	Noun	education: learning program	1	y
DIB1842927	VIP	VIP	1	Noun	abbreviation: very important person	1	y
DIB1846476	castle	castle	1	Noun	fortified building	1	y
DIB1846921	interesting	interesting	1	Adjective	arousing or holding the attention	1	y
DIB1855487	and	and/translations	1	Conjunction	used to connect two similar words, phrases, et cetera	1	y
DIB1860569	differentiate	differentiate	2	Verb	to perceive the difference	1	yp
DIB1860605	vegetable	vegetable/translations	1	Noun	a plant raised for some edible part of it	1	y
DIB1861718	rather	rather	4	Adverb	somewhat, fairly	1	y
DIB1869813	look	look	2	Verb	to appear, to seem	1	y
DIB1875647	roam	roam	1	Verb	wander freely	1	y
DIB1876511	step	step	17	Verb	intransitive: to move the foot in walking	1	y
DIB1882834	address	address	5	Noun	description of the location of a property; direction for correspondence	1	y
DIB1896419	security	security	1	Noun	condition of not being threatened	1	y
DIB1899340	supper	supper	4	Verb	to eat dinner	1	y
DIB1904942	stop	stop	11	Noun	place to get on and off mass transport	1	y
DIB1907865	enjoy oneself	enjoy oneself	1	Verb	take pleasure	1	y
DIB1908448	unconscious	unconscious	1	Adjective	not awake	1	y
DIB1910369	thousand	thousand	1	Numeral	cardinal number 1000	1	y
DIB1911206	leek	leek	1	Noun	vegetable	1	y
DIB1911315	stand	stand	1	Verb	to support oneself on the feet in an erect position	1	y
DIB1912527	electricity	electricity	1	Noun	form of energy	1	y
DIB1913643	finally	finally	1	Adverb	at the end	1	y
DIB1913643	finally	finally	2	Adverb	at last	1	y
DIB1916165	than	than	1	Preposition	Introduces a comparison	1	y
DIB1916480	garlic	garlic	1	Noun	plant	1	y
DIB1925614	consciousness	consciousness	1	Noun	awareness	1	y
DIB1926902	weather report	weather report	1	Noun	description of forecasted meteorological conditions	1	y
DIB1941489	recycling	recycling	1	Noun	the practice of sorting and collecting waste materials for new use	1	y
DIB1943585	bazaar	bazaar	1	Noun	marketplace	1	y
DIB1955718	sibling	sibling	1	Noun	person who shares same parents	1	yp
DIB1958069	potato crisp	potato crisp	1	Noun	thin deep-fried slice of potato	1	plural
DIB1959780	businesswoman	businesswoman	1	Noun	woman of business	1	y
DIB1971097	horror movie	horror movie	1	Noun	motion picture which horrifies or frightens	1	y
DIB1975538	above	above	2	Preposition	in or to a higher place	1	y
DIB1990379	request	request	2	Verb	to ask somebody to do something	1	y
DIB1999696	their	their	1	Determiner	belonging to them (plural)	1	y
DIB2001276	on foot	on foot	1	Prepositional phrase	walking, jogging, running	1	y
DIB2003661	knuckle	knuckle	1	Noun	joint of the finger	1	y
DIB2019594	each	each	1	Determiner	every	1	y
DIB2026981	blanket	blanket	1	Noun	fabric	1	y
DIB2029082	relax	relax	4	Verb	(''intransitive'') to rest and become relieved of stress	1	y
DIB2030379	refreshing	refreshing	1	Adjective	refreshing	1	y
DIB2030647	military service	military service	1	Noun	service in an army	1	y
DIB2032876	tight	tight	4	Adjective	fitting close, or too close, to the body	1	y
DIB2034755	orange	orange	4	Adjective	having the colour of the fruit of an orange tree	1	y
DIB2036812	watch	watch	8	Verb	to look at for a period of time	1	yp
DIB2039210	democratize	democratize	1	Verb	to make democratic	1	y
DIB2044046	dangerous	dangerous	1	Adjective	full of danger	1	y
DIB2045861	more and more	more and more	1	Adverb	progressively more	1	y
DIB2045861	more and more	more and more	2	Adverb	in a manner that progressively increases	1	y
DIB2049983	year	year/translations	1	Noun	time it takes for the Earth to complete one revolution around the Sun	1	y
DIB2054608	boring	boring	3	Adjective	causing boredom or tiredness	1	y
DIB2055488	because	because	1	Conjunction	by or for the cause that; on this account that; for the reason that	1	y
DIB2059415	subject	subject	7	Noun	particular area of study	1	y
DIB2062951	fool	fool	1	Noun	person with poor judgement or little intelligence	1	yp
DIB2063710	curriculum vitae	curriculum vitae	1	Noun	written account of one's education, accomplishments, etc.	1	y
DIB2068405	pick out	pick out	2	Verb	to select	1	y
DIB2070692	basketball	basketball	1	Noun	the sport	1	y
DIB2074584	write	write	3	Verb	to be the author of	1	yp
DIB2079815	translator	translator	1	Noun	someone or something that translates meaning from one language to another	1	y
DIB2098675	salt	salt/translations	1	Noun	sodium chloride	1	y
DIB2104396	pasta	pasta	1	Noun	dough	1	y
DIB2112400	crisis	crisis	2	Noun	unstable situation in political, social, economic or military affairs	1	y
DIB2113526	disaster	disaster	1	Noun	unexpected catastrophe causing physical damage, etc.	1	y
DIB2114489	single mother	single mother	1	Noun	a woman raising a child on her own	1	y
DIB2120306	meet	meet	2	Verb	to come face to face with someone by arrangement	1	y
DIB2127915	uncle	uncle	1	Noun	brother (or brother-in-law) of someone’s parent	1	y
DIB2136507	unfortunately	unfortunately	1	Adverb	happening through bad luck	1	y
DIB2138665	run off	run off	1	Verb	to leave or depart quickly	1	y
DIB2138913	sober	sober	1	Adjective	not drunk	1	y
DIB2143378	errand	errand	1	Noun	trip to accomplish a small task	1	y
DIB2143772	future	future	1	Noun	the time ahead	1	y
DIB2144260	or	or	1	Conjunction	conjunction	1	y
DIB2148105	weekdays	weekdays	1	Adverb	On weekdays	1	y
DIB2148599	play	play	6	Verb	use a device to watch or listen to the indicated recording	1	y
DIB2149732	CD	CD	1	Noun	abbreviation of compact disc	1	y
DIB2150033	end	end	1	Noun	extreme part	1	y
DIB2151783	worksheet	worksheet	1	Noun	sheet on which problems are worked out	1	y
DIB2157268	May	May	1	Proper noun	fifth month of the Gregorian calendar	1	y
DIB2158182	refuse	refuse	2	Verb	''(transitive)'' decline (request, demand)	1	y
DIB2158182	refuse	refuse	3	Verb	''(intransitive)'' decline a request or demand	1	y
DIB2160506	Christmas	Christmas	1	Proper noun	festival or holiday commemorating the birth of Jesus Christ which in Western Christianity is celebrated on December 25 in most places	1	y
DIB2160719	separate	separate	2	Verb	to disunite, disconnect	1	y
DIB2160839	apricot	apricot	1	Noun	fruit	1	y
DIB2162230	merry Christmas	merry Christmas	1	Phrase	good wishes at Christmas time	1	y
DIB2166702	policy	policy	1	Noun	principle of conduct	1	y
DIB2169918	tennis	tennis	1	Noun	sport played by two or four players with strung racquets	1	y
DIB2169968	pay attention	pay attention	1	Verb	to be attentive	1	y
DIB2179864	homework	homework	1	Noun	work that is done at home	1	y
DIB2186387	straight	straight	7	Adjective	heterosexual	1	y
DIB2202617	be about	be about	1	Verb	to have (something) as a primary focus	1	y
DIB2215846	painful	painful	1	Adjective	causing pain	1	y
DIB2223514	modern history	modern history	1	Noun	history of the world beginning after the Middle Ages	1	y
DIB2225186	thunder	thunder	1	Noun	sound caused by lightning	1	y
DIB2231347	fairy tale	fairy tale	1	Noun	folktale	1	y
DIB2241974	belief	belief	2	Noun	something believed	1	y
DIB2245028	casual	casual	1	Adjective	happening by chance	1	y
DIB2245876	furnish	furnish	1	Verb	to provide with furniture or other equipment	1	y
DIB2263541	between	between	1	Preposition	in the position or interval that separates two things	1	y
DIB2272104	win	win	6	Noun	individual victory	1	y
DIB2280018	stapler	stapler	1	Noun	device which binds together paper	1	y
DIB2282207	wait	wait	1	Verb	delay until some event	1	y
DIB2286270	before	before	11	Conjunction	in advance of the time when	1	y
DIB2290603	mean	mean	12	Adjective	low-minded; acting without consideration of others	1	y
DIB2295085	ride	ride	1	Verb	to transport oneself by sitting on and directing a horse, bicycle etc.	1	yp
DIB2296150	neat	neat	7	Adjective	colloquial: good, excellent, desirable	1	y
DIB2303202	coffee	coffee/translations	1	Noun	beverage	1	y
DIB2306465	use	use	4	Verb	employ, apply	1	y
DIB2306465	use	use	5	Verb	to exhaust the supply of, to consume	1	y
DIB2308677	remember	remember	1	Verb	to recall from one's memory	1	y
DIB2315719	secret	secret	1	Noun	knowledge that is hidden	1	y
DIB2317070	physics	physics	1	Noun	branch of science	1	y
DIB2319096	accidentally	accidentally	1	Adverb	happening by chance, not necessarily a lucky one	1	y
DIB2319096	accidentally	accidentally	2	Adverb	unexpectedly	1	y
DIB2320206	bedding	bedding	1	Noun	bedlinen	1	y
DIB2322878	shampoo	shampoo	2	Noun	product for washing the hair or other fibres	1	y
DIB2323709	hint	hint	6	Verb	express suggestively	1	y
DIB2327086	food	food	1	Noun	any substance consumed by living organisms to sustain life	1	y
DIB2333966	sound	sound	9	Verb	to convey an impression by one's sound	1	y
DIB2337999	who	who	1	Pronoun	who? (interrogative pronoun)	1	y
DIB2340646	nevertheless	nevertheless	1	Adverb	in spite of what preceded	1	y
DIB2345655	spice	spice	1	Noun	plant matter used to season or flavour food	1	y
DIB2346135	due	due	3	Adjective	of an event, scheduled, expected	1	yp
DIB2349271	argue	argue	3	Verb	to have an argument, a quarrel	1	y
DIB2354573	number	number	1	Noun	abstract entity used to describe quantity	1	y
DIB2354573	number	number	3	Noun	mathematics: number	1	y
DIB2361419	supporter	supporter	1	Noun	person who supports, an adherent	1	y
DIB2371881	try	try	1	Verb	to attempt	1	y
DIB2372953	in spite of	in spite of	1	Preposition	despite	1	y
DIB2374379	participate	participate	1	Verb	to join in, to take part, to involve oneself	1	y
DIB2378859	ATM	ATM	1	Noun	(banking) automated teller machine	1	y
DIB2382035	thing	thing	1	Noun	that which is considered to exist as a separate entity, object, quality or concept	1	plural
DIB2382956	cousin	cousin	3	Noun	child of a person’s parent’s brother or sister	1	y
DIB2403665	potato	potato	1	Noun	plant tuber eaten as starchy vegetable	1	y
DIB2404804	keyboard	keyboard	1	Noun	set of keys used to operate a typewriter, computer etc.	1	y
DIB2404932	regularly	regularly	2	Adverb	normally, ordinarily	1	y
DIB2405565	marry	marry	3	Verb	to take for husband or wife	1	y
DIB2407963	hardworking	hardworking	1	Adjective	taking their work seriously and doing it well and rapidly	1	y
DIB2409739	fever	fever	1	Noun	higher than normal body temperature	1	y
DIB2413033	long	long/translations	2	Adjective	having great duration	1	y
DIB2413301	hate	hate	2	Verb	to dislike intensely	1	y
DIB2416790	souvenir	souvenir	1	Noun	item of sentimental value	1	y
DIB2425130	ask	ask	1	Verb	request an answer	1	y
DIB2428159	unusual	unusual	1	Adjective	not usual	1	y
DIB2428393	nurse	nurse	1	Noun	person trained to provide care for the sick	1	y
DIB2432907	kill	kill	1	Verb	to put to death	1	y
DIB2448297	run	run/translations	1	Verb	to move quickly on two feet	1	y
DIB2451691	follow	follow	1	Verb	to go or come after in physical space	1	y
DIB2455009	computer	computer	1	Noun	programmable electronic device	1	y
DIB2460232	lesson	lesson	1	Noun	section of learning or teaching	1	y
DIB2460643	ozone	ozone	1	Noun	O<sub>3</sub>	1	y
DIB2463232	diplomat	diplomat	1	Noun	person who is accredited to represent a government	1	y
DIB2466024	scarf	scarf	1	Noun	long garment worn around the neck	1	y
DIB2467328	Turkey	Turkey	1	Proper noun	id=Q43	1	y
DIB2468019	now	now	2	Adverb	at the present time	1	y
DIB2471839	resident	resident	1	Noun	person living at a location or an area	1	y
DIB2475018	depend	depend	1	Verb	be contingent or conditioned	1	y
DIB2484221	hitchhike	hitchhike	1	Verb	to try to get a ride in a passing vehicle while standing at the side of a road	1	y
DIB2490745	immature	immature	2	Adjective	childish	1	y
DIB2491652	exhibition	exhibition	2	Noun	large scale public showing of objects or products	1	y
DIB2497409	tell	tell	1	Verb	to pass information	1	y
DIB2499149	against	against	7	Preposition	in opposition to	1	y
DIB2518797	sofa	sofa	1	Noun	upholstered seat	1	y
DIB2525521	drunk	drunk	1	Adjective	intoxicated after drinking too much alcohol	1	y
DIB2529967	work	work/translations	11	Verb	intransitive: to do a specific task	1	y
DIB2530709	cough	cough	6	Noun	sudden, often involuntary expulsion of air from the lungs through the glottis, and out through the mouth	1	y
DIB2533982	accrue	accrue	1	Verb	increase	1	y
DIB2537042	great	great	2	Adjective	very good	1	y
DIB2538812	call	call	5	Verb	to name or refer to	1	y
DIB2542672	answer	answer	5	Verb	to make a reply or response to	1	y
DIB2544969	lose	lose	1	Verb	cease to have in one's possession or capability	1	y
DIB2550197	suitcase	suitcase	1	Noun	large piece of luggage	1	y
DIB2551354	hope	hope	2	Noun	belief that something wished for can happen	1	y
DIB2554759	youth hostel	youth hostel	1	Noun	an inexpensive supervised lodging place, primarily for young people	1	y
DIB2555806	geography	geography	1	Noun	study of physical structure and inhabitants of the Earth	1	y
DIB2557443	health resort	health resort	1	Noun	resort providing services designed to improve people's health	1	y
DIB2558671	do	do/translations	5	Verb	perform, execute	1	y
DIB2561950	bruise	bruise	5	Noun	medical: mark on the skin	1	y
DIB2563005	happy	happy	1	Adjective	contented, joyous	1	y
DIB2564773	engage	engage	1	Verb	to engross or hold the attention of someone	1	y
DIB2566322	comb	comb	1	Noun	toothed implement for grooming the hair	1	y
DIB2570277	photo album	photo album	1	Noun	book for mounting photographs	1	y
DIB2575323	cholesterol	cholesterol	1	Noun	an essential component of mammalian cell membranes	1	y
DIB2581505	currant	currant	2	Noun	fruit of the genus ''Ribes''	1	y
DIB2581669	intolerable	intolerable	1	Adjective	not tolerable	1	y
DIB2583714	follow suit	follow suit	2	Verb	follow an example	1	y
DIB2586155	king	king/translations	1	Noun	a male of a royal family who is the supreme ruler of his nation	1	y
DIB2587414	spread	spread	15	Noun	food designed to be spread	1	y
DIB2591476	humour	humour	1	Noun	wit	1	y
DIB2593600	tree	tree	1	Noun	large woody plant	1	y
DIB2602349	Caribbean	Caribbean	4	Proper noun	continental region centered on the Caribbean Sea	1	y
DIB2607922	overcoat	overcoat	1	Noun	garment	1	y
DIB2608803	suffer	suffer	1	Verb	undergo hardship	1	y
DIB2609547	what	what	6	Pronoun	what? (interrogative pronoun)	1	y
DIB2616470	soap	soap	1	Noun	substance	1	y
DIB2618247	ship	ship	1	Noun	large water craft	1	y
DIB2623797	glance	glance	2	Verb	to look briefly at (something)	1	y
DIB2634175	involve	involve	2	Verb	to cause or engage (someone or something) to become connected or implicated, or to participate, in some activity or situation	1	yp
DIB2646578	winter	winter	1	Noun	fourth season, marked by short days and the lowest temperatures	1	y
DIB2647134	nonalcoholic	nonalcoholic	1	Adjective	containing at most trace amounts of alcohol	1	y
DIB2650376	them	them	1	Pronoun	third personal plural pronoun used after a preposition or as the object of a verb	1	yp
DIB2653544	flash drive	flash drive	1	Noun	storage device	1	y
DIB2658201	bring	bring	1	Verb	to transport toward somebody/somewhere	1	y
DIB2659813	inside	inside	11	Adverb	within the interior	1	y
DIB2659813	inside	inside	14	Preposition	within the interior of something, closest to the center or to a specific point of reference	1	y
DIB2660362	regulation	regulation	2	Noun	law or administrative rule	1	y
DIB2669726	be able to	be able to	1	Verb	have ability to	1	y
DIB2669741	bake	bake	1	Verb	to cook in an oven	1	y
DIB2673039	hopefully	hopefully	2	Adverb	it is hoped that	1	y
DIB2674570	tram	tram	1	Noun	passenger vehicle	1	y
DIB2677106	get lost	get lost	2	Verb	lose one's way	1	y
DIB2679788	golf ball	golf ball	1	Noun	small ball used in golf	1	y
DIB2683100	black eye	black eye	1	Noun	bruised eye	1	y
DIB2689053	your	your	1	Determiner	belonging to you (singular; one owner)	1	y
DIB2691317	taboo	taboo	1	Noun	inhibition or ban	1	y
DIB2695978	clever	clever	4	Adjective	mentally quick or sharp	1	y
DIB2697601	indoors	indoors	1	Adverb	in or into a building	1	y
DIB2714133	bring back	bring back	1	Verb	to fetch something	1	y
DIB2717149	billiards	billiards	1	Noun	any cue sport	1	y
DIB2717411	invent	invent	1	Verb	design a new process or mechanism	1	y
DIB2732375	broccoli	broccoli	1	Noun	plant ''Brassica oleracea'' var. ''italica''	1	y
DIB2752989	neck	neck	1	Noun	part of body connecting the head and the trunk	1	y
DIB2755260	upload	upload	1	Verb	to transfer data	1	y
DIB2773551	band-aid	band-aid	1	Noun	adhesive bandage	1	y
DIB2774680	fit	fit	3	Adjective	in good shape	1	yp
DIB2789005	nowhere	nowhere	1	Adverb	in no place	1	y
DIB2800534	pillow	pillow	1	Noun	soft cushion used to support the head in bed	1	y
DIB2814866	definite	definite	2	Adjective	free from any doubt	1	y
DIB2819288	high school	high school	1	Noun	secondary school	1	y
DIB2821354	eat	eat	1	Verb	to ingest	1	y
DIB2821555	call	call	1	Verb	to request, summon, or beckon	1	y
DIB2826127	shoe shop	shoe shop	1	Noun	a shop that sells footwear and related items	1	y
DIB2827238	much	much	3	Adverb	(with a comparative adjective) ''for emphasis''	1	y
DIB2827956	can	can	1	Verb	to be able to; to know how to	1	yp
DIB2830784	they	they	1	Pronoun	third-person plural pronoun	1	y
DIB2836293	quarter	quarter	1	Noun	one of four equal parts	1	y
DIB2837189	cold	cold	1	Adjective	having a low temperature	1	y
DIB2846091	with	with	3	Preposition	in the company of	1	y
DIB2849370	smash	smash	5	Verb	to break violently	1	y
DIB2852993	where	where	1	Adverb	at what place; to what place; from what place	1	y
DIB2854630	lung	lung	1	Noun	organ that extracts oxygen from the air	1	y
DIB2875127	prevent	prevent	1	Verb	to keep from happening	1	y
DIB2877080	how do I get to the bus station	how do I get to the bus station	1	Phrase	how do I get to the bus station?	1	yp
DIB2883592	engaged	engaged	1	Adjective	agreed to be married	1	yp
DIB2887729	February	February	1	Proper noun	second month of the Roman, Julian, and Gregorian calendars	1	y
DIB2888606	stubborn	stubborn	1	Adjective	refusing to move or change one's opinion	1	y
DIB2897153	history	history	1	Noun	aggregate of past events	1	y
DIB2901599	themselves	themselves	1	Pronoun	the reflexive case of they, the third-person plural personal pronoun	1	yp
DIB2902470	therefore	therefore	1	Adverb	consequently; by consequence	1	y
DIB2904819	horde	horde	1	Noun	wandering troop or gang	1	y
DIB2906536	restaurant	restaurant	1	Noun	an eating establishment in which diners are served food	1	y
DIB2909734	neighbour	neighbour	1	Noun	a person living on adjacent or nearby land	1	y
DIB2924251	Sunday	Sunday	1	Noun	day of the week	1	y
DIB2943743	family	family	1	Noun	immediate family [as a group], e.g. parents and their children	1	y
DIB2949705	lie down	lie down	1	Verb	assume a horizontal position	1	y
DIB2949757	dermatologist	dermatologist	1	Noun	one who is skilled, professes or practices dermatology	1	y
DIB2949814	hobby	hobby	1	Noun	activity done for enjoyment in spare time	1	y
DIB2955271	Good Friday	Good Friday	1	Noun	The Friday before Easter Sunday, the commemoration of the day on which Christ was crucified	1	y
DIB2956778	remove	remove	1	Verb	to take away	1	y
DIB2957067	plum	plum	1	Noun	fruit of ''Prunus domestica''	1	y
DIB2963119	World War II	World War II	1	Proper noun	war from 1939 to 1945	1	y
DIB2971978	good evening	good evening	1	Interjection	greeting said in the evening	1	y
DIB2973669	I'm fine	I'm fine	1	Phrase	response	1	y
DIB2974039	lettuce	lettuce	1	Noun	an edible plant, ''Lactuca''	1	y
DIB2975521	bread	bread	1	Noun	baked dough made from cereals	1	y
DIB2977387	X-ray	X-ray	2	Noun	photograph made with X-rays	1	y
DIB2978964	really	really	1	Adverb	actually	1	y
DIB2978964	really	really	5	Interjection	indicating affirmation, agreement	1	y
DIB2979538	as if	as if	1	Conjunction	as though	1	y
DIB2979573	sail	sail	8	Verb	to ride in a boat, especially sailboat	1	y
DIB2980202	passport	passport	1	Noun	official document for foreign travel	1	y
DIB2983115	easy	easy	1	Adjective	requiring little skill or effort	1	y
DIB2985105	bass	bass	5	Noun	musical instrument	1	y
DIB2986461	one by one	one by one	1	Adverb	individually	1	y
DIB2987135	recognize	recognize	1	Verb	to match in memory; to know from a previous encounter	1	y
DIB2987811	gas station	gas station	1	Noun	an establishment which sells gasoline to pump directly into a car	1	y
DIB2988888	whom	whom	1	Pronoun	what person; object of a verb (accusative)	1	y
DIB2990205	leave	leave	1	Verb	to cause to remain as available, not take away, refrain from depleting	1	y
DIB3000272	believe	believe	1	Verb	to accept that someone is telling the truth (object: person)	1	y
DIB3006401	injure	injure	1	Verb	to wound or cause physical harm	1	yp
DIB3006909	spell	spell	4	Verb	to write or say the letters that form a word	1	y
DIB3011235	occupy oneself	occupy oneself	1	Verb	keep busy by doing something	1	y
DIB3016530	himself	himself	1	Pronoun	(reflexive) male person as the previously mentioned object	1	yp
DIB3017856	cycle	cycle	17	Verb	to ride a cycle	1	y
DIB3019342	charming	charming	1	Adjective	pleasant, charismatic	1	y
DIB3021001	attitude	attitude	2	Noun	disposition or state of mind	1	y
DIB3026439	sustainable	sustainable	2	Adjective	able to be sustained: environmental term	1	y
DIB3043142	festival	festival	1	Noun	event or community gathering	1	y
DIB3044182	husband	husband	1	Noun	male partner in marriage	1	y
DIB3045403	niece	niece	1	Noun	fraternal or sororal niece	1	y
DIB3051914	April	April	1	Proper noun	fourth month of the Gregorian calendar	1	y
DIB3057166	Canada	Canada	1	Proper noun	id=Q16	1	y
DIB3059446	need	need	3	Verb	to have an absolute requirement for	1	y
DIB3061996	draw	draw	1	Verb	to produce a picture	1	y
DIB3064506	your	your	1	Determiner	belonging to you (singular; one owner)	1	y
DIB3064506	your	your	2	Determiner	belonging to you (plural; more owners)	1	y
DIB3070971	stroll	stroll	2	Verb	wander on foot	1	y
DIB3071828	death	death	1	Noun	cessation of life	1	y
DIB3072730	lecture theatre	lecture theatre	1	Noun	room in a university with many seats and a sloped floor	1	y
DIB3074346	family tree	family tree	1	Noun	family tree	1	y
DIB3075198	me	me/translations	1	Pronoun	direct object of a verb	1	y
DIB3083947	fit	fit	8	Verb	to conform to in size and shape	1	y
DIB3090846	death penalty	death penalty	1	Noun	state punishment of death	1	y
DIB3112132	herself	herself	1	Pronoun	(reflexive object) her	1	yp
DIB3124391	fabulously	fabulously	1	Adverb	in a fabulous manner	1	y
DIB3128110	faucet	faucet	1	Noun	an exposed plumbing fitting; a tap or spigot; a regulator for controlling the flow of a liquid from a reservoir	1	y
DIB3140402	nice	nice	1	Adjective	pleasant, satisfactory	1	y
DIB3145084	bottle opener	bottle opener	1	Noun	device to open bottles removing the cap	1	y
DIB3147607	black ice	black ice	1	Noun	invisible film of ice	1	y
DIB3148753	Labor Day	Labor Day	1	Noun	US holiday marking the end of summer	1	y
DIB3155092	confident	confident	1	Adjective	being very sure of or positive about something	1	y
DIB3159519	honest	honest	1	Adjective	scrupulous with regard to telling the truth	1	y
DIB3167374	public	public	4	Adjective	pertaining to people as a whole, as opposed to a group of people	1	y
DIB3176613	can opener	can opener	1	Noun	device used to open tin cans	1	y
DIB3202818	two	two	1	Numeral	cardinal number 2	1	y
DIB3204520	together	together	1	Adverb	at the same time, in the same place	1	y
DIB3210965	account for	account for	1	Verb	to explain by relating circumstances	1	y
DIB3211238	mouth	mouth	1	Noun	the opening of a creature through which food is ingested	1	y
DIB3212229	slim	slim	1	Adjective	slender	1	y
DIB3212498	want	want	1	Verb	to desire	1	y
DIB3226506	honesty	honesty	1	Noun	quality of being honest	1	y
DIB3230539	plan	plan	7	Verb	to intend	1	y
DIB3232312	people	people	1	Noun	a body of human beings; a group of two or more persons	1	y
DIB3239301	stink	stink	1	Verb	have a strong bad smell	1	y
DIB3241917	cap	cap	1	Noun	head covering	1	y
DIB3249347	fourteen	fourteen	1	Numeral	cardinal number	1	y
DIB3257079	shop	shop	1	Noun	establishment that sells goods	1	y
DIB3259223	champagne	champagne	2	Noun	any sparkling white wine	1	y
DIB3262945	healthy	healthy	1	Adjective	enjoying good health	1	y
DIB3271861	greeting	greeting	1	Noun	acknowledgement of a persons presence or arrival	1	y
DIB3274573	would like	would like	1	Verb	to want; to desire	1	y
DIB3278695	settle in	settle in	1	Verb	to become established	1	y
DIB3279431	cultural anthropology	cultural anthropology	1	Noun	field of anthropology	1	y
DIB3281026	nail polish	nail polish	1	Noun	cosmetic lacquer	1	y
DIB3281753	left	left	4	Adverb	towards the left side	1	y
DIB3284724	where	where	1	Adverb	at what place; to what place; from what place	1	yp
DIB3286713	marriage	marriage	1	Noun	state of being married	1	y
DIB3291288	doubt	doubt	1	Verb	to lack confidence in	1	y
DIB3292224	weird	weird	1	Adjective	having an unusually strange character or behaviour	1	y
DIB3293836	tea	tea/translations	2	Noun	drink made from leaves of tea plant	1	y
DIB3299327	fight	fight	5	Verb	(transitive) to contend in physical conflict against	1	y
DIB3308178	like	like	1	Verb	to enjoy	1	y
DIB3309229	Carnival	Carnival	1			1	y
DIB3314304	conceited	conceited	1	Adjective	vain and egotistic	1	y
DIB3315569	fruit	fruit	1	Noun	part of plant	1	y
DIB3317867	night	night	1	Noun	period between sunset and sunrise	1	y
DIB3326244	sad	sad	2	Adjective	feeling sorrow	1	y
DIB3330526	tag along	tag along	1	Verb	To accompany, join, or follow; to go with	1	y
DIB3331291	apply	apply	6	Verb	to submit oneself as a candidate	1	y
DIB3333503	stop	stop	2	Verb	not to continue	1	y
DIB3339759	spend	spend	3	Verb	to consume, to use up (time)	1	y
DIB3343021	abort	abort	7	Verb	to cause a premature termination	1	y
DIB3346520	repeatedly	repeatedly	1	Adverb	done several times	1	y
DIB3354844	design	design	7	Verb	to plan an artwork etc.	1	y
DIB3356504	forty	forty	1	Numeral	the cardinal number occurring after thirty-nine	1	y
DIB3371496	get	get	16	Verb	colloquial: to understand	1	y
DIB3375355	choice	choice	1	Noun	option or decision	1	y
DIB3377504	yellow	yellow	2	Adjective	having yellow as its color	1	y
DIB3378778	yourselves	yourselves	1	Pronoun	you (referring to the people being spoken to, previously mentioned)	1	yp
DIB3380384	German Democratic Republic	German Democratic Republic	1	Proper noun	id=Q16957	1	y
DIB3386670	zero	zero	1	Numeral	cardinal number before 1, denoting nothing	1	y
DIB3390537	young	young/translations	1	Adjective	in the early part of life or growth	1	y
DIB3393657	sweaty	sweaty	1	Adjective	covered in sweat	1	y
DIB3395043	ride	ride	2	Verb	to be transported in a vehicle as a passenger	1	y
DIB3395919	close	close	4	Verb	obstruct (an opening)	1	y
DIB3397194	island	island	1	Noun	area of land completely surrounded by water	1	y
DIB3398877	boyfriend	boyfriend	1	Noun	male partner in a romantic relationship	1	y
DIB3401337	close	close	4	Verb	obstruct (an opening)	1	y
DIB3410622	English studies	English studies	1	Noun	academic discipline	1	y
DIB3412078	Monday	Monday	1	Noun	day of the week	1	y
